0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1650 (+/-0.013) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1357 (+/-0.004) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.4554 (+/-0.029) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.4554 (+/-0.029) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.4554 (+/-0.029) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.4550 (+/-0.029) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.4550 (+/-0.029) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.4550 (+/-0.029) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.4543 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.4543 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.4543 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.2963 (+/-0.248) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.2963 (+/-0.248) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.2963 (+/-0.248) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.2965 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.2965 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.2965 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.2966 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.2966 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.2966 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
